SERVICE_KEY,STOP_HOURS,FROM_LOCATION_ID,TO_LOCATION_ID,COUNT,P05,P25,P50,P75,P95
S,5,10860,4287,26,41.25,44.5,48,51,55
S,5,11411,8917,26,34,35.25,37,39,43
S,5,1778,12904,21,22,23,28,29,32
S,5,1798,1793,26,27,29.25,33.5,37,59
S,5,1811,1807,25,21.400000000000002,23,26,33,35.8
S,5,1815,12948,25,21.200000000000003,24,28,33,35.8
S,5,1818,1815,26,29.25,31,34.5,41.75,46.5
S,5,1824,1818,26,36,45.25,56.5,63.75,74
S,5,1826,1824,26,24,25,30.5,33,38.5
S,5,2642,11956,21,81,92,104,124,330
S,5,3633,2642,21,34,35,37,40,44
S,5,4287,6517,26,58.75,73.5,89.5,110,122.25
S,5,6526,6529,22,30,33.25,41.5,52.75,57.95
S,5,6529,11026,26,35.25,39.5,42,47.75,67.5
S,5,9211,8918,26,31.25,34.25,39.5,42,69.25
S,6,10071,10072,24,22,23,24,28.25,34.09999999999999
S,6,10072,10073,23,22,23,25,29.5,36.9
S,6,10074,10455,25,24,26,29,32,47.59999999999995
S,6,10196,1802,21,21,23,24,26,28
S,6,10455,6467,25,33.2,37,39,45,52.999999999999986
S,6,10491,7588,26,41.25,46.25,75,86.5,103.5
S,6,10593,2763,23,21.1,23.5,25,66.5,98.79999999999998
S,6,10602,1342,26,34.25,38,44,58.5,82
S,6,10793,5087,26,33.5,42,50,57.5,85.25
S,6,10821,7150,26,21.25,23.25,26,27,29.75
S,6,10823,10825,25,23,25,28,29,30
S,6,10826,10827,26,23.25,25,28,31,38
S,6,10827,10828,26,42.25,46,50,54.75,63.25
S,6,10830,10831,24,22,23,24,27,33.249999999999986
S,6,10845,178,26,22.5,26.5,30,32.75,35.75
S,6,10855,10855,24,24,25.75,30,37,43.849999999999994
S,6,10855,5145,25,50,55,65,80,88.59999999999998
S,6,10860,4287,26,41.25,45,47,51,61.5
S,6,10879,8464,26,36,43,48.5,56,69.25
S,6,11411,8917,26,33.25,35,38,40.75,45
S,6,11956,13169,26,45,51.5,59.5,64.75,136.5
S,6,12707,1328,26,23,26,27,31,39.5
S,6,12892,2619,31,21.5,22,24,26,29
S,6,12904,1799,29,21.4,23,24,27,28.599999999999998
S,6,12917,7658,36,21,24,27,37,45.75
S,6,12948,1811,36,23,25,28,32.25,39.75
S,6,12957,5407,24,22.15,24,27,28,31.849999999999998
S,6,13043,418,26,35,38.5,46.5,53,60
S,6,1320,3092,26,34.25,41.5,49.5,54.5,63
S,6,13236,1829,34,21,25,31.5,47,58.099999999999966
S,6,1324,1339,23,21.1,25.5,30,34,44.599999999999994
S,6,1328,1324,26,26.25,46.5,70,89.75,121.75
S,6,13327,6839,26,56,61.25,65.5,71.25,83
S,6,1335,1355,25,21,23,24,26,30.799999999999997
S,6,1339,1335,26,26,29,30.5,33,37
S,6,1342,1572,26,29,31,34,37,59.5
S,6,13591,13166,26,57,76,90,105.5,115.75
S,6,13596,5499,26,30.25,36.25,52,70.5,83.25
S,6,13870,9648,26,22.5,25,26.5,28.75,35.25
S,6,13882,2633,38,31.85,36,40,41,43.599999999999994
S,6,155,188,26,46.25,49,50,51.75,56
S,6,1572,10821,26,45.25,63.25,82.5,106.25,125
S,6,160,162,26,24.25,26.25,27,30,32
S,6,164,8213,26,48,50.25,52,58,71
S,6,168,212,26,40,41.25,43,46,58
S,6,170,10844,26,24.25,27.25,30,31.75,34.75
S,6,173,155,26,38.25,41,44.5,47,50
S,6,176,173,26,44,47,49,57.5,77
S,6,1775,12947,26,24.25,26,30,34,37.5
S,6,1778,12904,37,21,24,26,29,33.199999999999996
S,6,178,152,25,24.2,27,29,31,33
S,6,179,150,21,22,24,25,27,28
S,6,1792,1794,38,25.849999999999998,33,40,53.75,63
S,6,1793,7656,50,39.9,54.25,90.5,104.5,120.64999999999999
S,6,1794,12946,38,25.7,31,34,36.75,41
S,6,1798,1793,38,31.55,34,39,46,88.15
S,6,1803,1778,22,21,22,23,24,33.8
S,6,1808,1810,23,21,23,24,27,44.599999999999994
S,6,181,207,26,38.25,40.25,42,44.75,49
S,6,1811,1807,38,25,28,30,33.75,40.15
S,6,1815,12948,37,23,26,31,33,37.79999999999998
S,6,1816,1819,25,21.200000000000003,24,27,31,66.39999999999999
S,6,1818,1815,38,27.85,33,38,40,46.3
S,6,1819,1821,26,24,28.25,32.5,35,49.25
S,6,1823,1827,26,22.5,26,29,31,33
S,6,1824,1818,38,32.400000000000006,41.5,48.5,58.75,77.29999999999998
S,6,1826,1824,37,23.6,27,30,33,38
S,6,1827,6427,26,25.25,28,31.5,43.75,72
S,6,188,181,25,21,22,22,23,25.799999999999997
S,6,199,200,22,21.049999999999997,23,23,25,27
S,6,200,201,21,21,21,23,25,28
S,6,207,191,26,27.25,29.25,31.5,36,46.75
S,6,210,179,26,37,39,41,43.75,48
S,6,211,183,26,32,33.25,36,38.75,47.25
S,6,212,160,26,28,33,37,38.75,46.75
S,6,2330,13594,26,44.25,50.25,58.5,61,87.25
S,6,2341,2416,24,21.150000000000002,23,24,26.5,30
S,6,2418,2330,22,22,23,24,25,26
S,6,2597,2599,25,21.200000000000003,24,27,29,50.399999999999935
S,6,2602,3637,38,37.55,45.25,56.5,77.5,100.3
S,6,2609,2606,37,28.6,36,47,59,65.39999999999999
S,6,2611,2609,34,21.65,22,23,27,30.349999999999994
S,6,2612,2614,25,23,27,28,32,40.999999999999986
S,6,2615,2617,25,27,28,31,33,35.8
S,6,2616,2613,37,25.8,28,30,35,38.199999999999996
S,6,2620,2623,38,30,43.5,55.5,62.75,70.15
S,6,2623,2625,32,21.549999999999997,22.75,25,29.5,45.599999999999994
S,6,2624,12892,37,30,32,36,47,65.19999999999999
S,6,2625,2628,36,21,23,24.5,26,29.5
S,6,2626,2624,32,21,22.75,24.5,26,41.599999999999994
S,6,2629,2626,37,29.799999999999997,43,51,69,82.19999999999999
S,6,2632,2629,27,21,22,23,26,27
S,6,2633,7651,38,24.85,27,37,51,60.15
S,6,2635,2632,37,26.799999999999997,29,32,33,35.199999999999996
S,6,2641,2594,25,36,42,51,66,81.79999999999998
S,6,2642,11956,46,80,91.25,102.5,111.25,175.5
S,6,2747,2743,26,29,31,33,34,38
S,6,2751,2748,26,23,25,26,28,45.25
S,6,2753,2751,23,22,23,25,25,26
S,6,2763,2761,23,22,22,23,24,26.9
S,6,2768,10593,25,24,25,26,28,29
S,6,3091,3105,23,22,24,27,29,37.699999999999996
S,6,3092,3097,22,22.05,24,26,27,30
S,6,3105,10879,25,21,24,26,29,34.19999999999999
S,6,3633,2642,54,32.65,37,41,44,49.69999999999999
S,6,3635,2641,23,72.30000000000001,78.5,82,88.5,92.9
S,6,3637,3641,38,27.700000000000003,31,32.5,34,38.449999999999996
S,6,3639,3635,22,29.049999999999997,31,35,37,39
S,6,3669,4290,26,26.25,29.25,33.5,43,63
S,6,4014,4026,22,21.049999999999997,23,26,46.5,59.95
S,6,4016,4014,26,23.25,31,36,45.75,59.25
S,6,406,408,21,21,22,23,24,27
S,6,408,13043,26,24.25,26,28,30,32.75
