SERVICE_DATE,SERVICE_KEY,TRAIN,TRIP_NUMBER,bus,ROUTE_NUMBER,DIRECTION,ESTIMATED_LOAD,start_location,depart,end_location,arrive,ACT_ARR_TIME,ACT_DEP_TIME,STOP_TYPE,GPS_LONGITUDE,GPS_LATITUDE,delay,DOOR_OPEN_TIME
01SEP2017:00:00:00,W,401,1400,3107,4,1,16,7856,42967,2642,43165,42987,43012,3,-122.65876170000001,45.512823333,25,0
01SEP2017:00:00:00,W,401,1640,3107,4,1,13,7856,61449,2642,61656,61463,61503,3,-122.65875,45.512825,40,0
05SEP2017:00:00:00,W,401,1640,2642,4,1,14,7856,61443,2642,61605,61461,61510,3,-122.65873,45.512846667,49,0
05SEP2017:00:00:00,W,401,1400,2642,4,1,19,7856,42839,2642,43032,42848,42878,3,-122.658695,45.51206,30,0
05SEP2017:00:00:00,W,401,1400,2642,4,1,19,7856,42839,2642,43032,42898,42946,3,-122.6587383,45.51283,48,0
06SEP2017:00:00:00,W,401,1640,3301,4,1,14,7856,61388,2642,61591,61396,61431,3,-122.65867,45.512043333,35,0
06SEP2017:00:00:00,W,401,1400,3301,4,1,21,7856,42881,2642,43036,42893,42934,3,-122.6587017,45.512826667,41,0
07SEP2017:00:00:00,W,401,1160,3156,4,1,23,7856,27078,2642,27274,27098,27136,3,-122.658725,45.512833333,38,0
07SEP2017:00:00:00,W,401,1400,3156,4,1,14,7856,42948,2642,43103,42967,43015,3,-122.6587283,45.512831667,48,0
08SEP2017:00:00:00,W,401,1160,3150,4,1,23,7856,27145,2642,27353,27163,27208,3,-122.65874,45.512803333,45,0
08SEP2017:00:00:00,W,401,1640,3150,4,1,17,7856,61521,2642,61729,61538,61573,3,-122.6587467,45.512809999999995,35,0
08SEP2017:00:00:00,W,401,1400,3150,4,1,24,7856,42884,2642,43037,42903,42939,3,-122.6587467,45.512809999999995,36,0
11SEP2017:00:00:00,W,401,1160,3131,4,1,10,7856,27130,2642,27346,27149,27207,3,-122.6587233,45.512858333000004,58,0
11SEP2017:00:00:00,W,401,1400,3131,4,1,24,7856,42884,2642,43022,42902,42911,3,-122.6587383,45.512865000000005,9,0
11SEP2017:00:00:00,W,401,1640,3131,4,1,17,7856,61445,2642,61652,61461,61506,3,-122.6587233,45.512828333,45,0
12SEP2017:00:00:00,W,401,1160,3169,4,1,19,7856,27077,2642,27285,27091,27136,3,-122.6587367,45.51267,45,0
12SEP2017:00:00:00,W,401,1400,3169,4,1,23,7856,42881,2642,43028,42900,42943,3,-122.6587233,45.51282,43,0
12SEP2017:00:00:00,W,401,1640,3169,4,1,13,7856,61485,2642,61733,61493,61502,3,-122.658695,45.512028333,9,0
13SEP2017:00:00:00,W,401,1640,3139,4,1,16,7856,61519,2642,61727,61538,61586,3,-122.65871170000001,45.512743333,48,0
13SEP2017:00:00:00,W,401,1160,3139,4,1,15,7856,27124,2642,27357,27152,27200,3,-122.65878500000001,45.512788333,48,0
13SEP2017:00:00:00,W,401,1400,3139,4,1,12,7856,42888,2642,43045,42905,42936,3,-122.65871829999999,45.512776667,31,0
14SEP2017:00:00:00,W,401,1640,3150,4,1,14,7856,61514,2642,61756,61529,61569,3,-122.65873329999998,45.512821667,40,0
14SEP2017:00:00:00,W,401,1160,3150,4,1,21,7856,27134,2642,27357,27150,27206,3,-122.6587383,45.512843333,56,0
14SEP2017:00:00:00,W,401,1400,3150,4,1,21,7856,42893,2642,43097,42906,42935,3,-122.65873329999998,45.512811667,29,0
15SEP2017:00:00:00,W,401,1640,3306,4,1,11,7856,61527,2642,61799,61533,61577,3,-122.65868,45.512036667,44,0
15SEP2017:00:00:00,W,401,1640,3306,4,1,11,7856,61527,2642,61799,61597,61636,3,-122.65871829999999,45.512806667,39,0
15SEP2017:00:00:00,W,401,1160,3306,4,1,19,7856,27002,2642,27209,27017,27070,3,-122.6587367,45.51282,53,0
15SEP2017:00:00:00,W,401,1400,3306,4,1,18,7856,42882,2642,43098,42900,42938,3,-122.65874,45.512809999999995,38,0
18SEP2017:00:00:00,W,401,1160,3139,4,1,12,7856,27000,2642,27214,27015,27062,3,-122.6588017,45.512778333,47,0
18SEP2017:00:00:00,W,401,1640,3139,4,1,13,7856,61531,2642,61724,61544,61586,3,-122.65870829999999,45.512788333,42,0
19SEP2017:00:00:00,W,401,1160,3113,4,1,17,7856,27079,2642,27276,27097,27131,3,-122.6587317,45.512788333,34,0
19SEP2017:00:00:00,W,401,1400,3113,4,1,16,7856,42954,2642,43106,42971,43016,3,-122.6587367,45.512755,45,0
19SEP2017:00:00:00,W,401,1640,3113,4,1,15,7856,61451,2642,61814,61471,61505,3,-122.6587267,45.512826667,34,0
19SEP2017:00:00:00,W,401,1640,3113,4,1,15,7856,61451,2642,61814,61676,61743,3,-122.66334170000002,45.512975,67,0
20SEP2017:00:00:00,W,401,1640,3577,4,1,7,7856,61612,2642,61928,61621,61645,3,-122.65868999999999,45.51206,24,0
20SEP2017:00:00:00,W,401,1640,3577,4,1,7,7856,61612,2642,61928,61815,61828,3,-122.6637517,45.512973333000005,13,0
20SEP2017:00:00:00,W,401,1400,3577,4,1,15,7856,42890,2642,43101,42909,42939,3,-122.6587217,45.5127,30,0
20SEP2017:00:00:00,W,401,1160,3577,4,1,10,7856,27137,2642,27482,27154,27201,3,-122.6586983,45.512718333,47,0
20SEP2017:00:00:00,W,401,1160,3577,4,1,10,7856,27137,2642,27482,27451,27459,3,-122.66584830000001,45.512983333,8,0
21SEP2017:00:00:00,W,401,1160,3536,4,1,30,7856,27276,2642,27519,27290,27339,3,-122.6587,45.512838333000005,49,0
